Категория UI,Отображаемое имя,Ключ эффекта,Уровень,Поле базы,Класс,Специализация,Роль,Исходное значение,Источник кода
Утилити-дебафы,Cast Speed Slow,Cast Slow 30%,Спек,specDebuffs,Venomancer,Vizier,Хилер,Cast Slow 30%,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Minor Armor and All Stats,Stats Flat + Armor (MotW),Класс,classBuffs,Venomancer,Fortitude,Танк,Stats Flat + Armor (MotW),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Agility,Flat Agility,Класс,classBuffs,Venomancer,Fortitude,Танк,Flat Agility,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Spirit,Flat Spirit,Класс,classBuffs,Venomancer,Fortitude,Танк,Flat Spirit,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Fire Resistance,Fire,Класс,classResists,Venomancer,Fortitude,Танк,Fire,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,3% Damage Reduction (all),Dmg Reduct(-3%),Спек,specBuffs,Venomancer,Fortitude,Танк,Dmg Reduct(-3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Cast Speed Slow,Cast Slow 30%,Спек,specDebuffs,Venomancer,Fortitude,Танк,Cast Slow 30%,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Attack Speed Slow,Attack Speed (Slow),Спек,specDebuffs,Venomancer,Fortitude,Танк,Attack Speed (Slow),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,3% Hit Reduction,Insect Swarm Hit (3%),Спек,specDebuffs,Venomancer,Fortitude,Танк,Insect Swarm Hit (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Minor Armor and All Stats,Stats Flat + Armor (MotW),Класс,classBuffs,Venomancer,Rot,Рейндж/кастер,Stats Flat + Armor (MotW),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Agility,Flat Agility,Класс,classBuffs,Venomancer,Rot,Рейндж/кастер,Flat Agility,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Spirit,Flat Spirit,Класс,classBuffs,Venomancer,Rot,Рейндж/кастер,Flat Spirit,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Fire Resistance,Fire,Класс,classResists,Venomancer,Rot,Рейндж/кастер,Fire,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,3% Spell Haste,Spell Haste (3%),Спек,specBuffs,Venomancer,Rot,Рейндж/кастер,Spell Haste (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,3% Spell Hit,Spell Hit (3%) DEBUFF,Спек,specDebuffs,Venomancer,Rot,Рейндж/кастер,Spell Hit (3%) DEBUFF,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Healing Reduction,Healing Reduc (30-50%),Спек,specDebuffs,Venomancer,Rot,Рейндж/кастер,Healing Reduc (30-50%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Cast Speed Slow,Cast Slow 30%,Спек,specDebuffs,Venomancer,Rot,Рейндж/кастер,Cast Slow 30%,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Attack Power,AP Flat (Shout),Класс,classBuffs,Tinker,Demolition,Рейндж/кастер,AP Flat (Shout),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Mana Regeneration,Mp5,Класс,classBuffs,Tinker,Demolition,Рейндж/кастер,Mp5,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Strong Mana Cooldown,Burst Mana,Класс,classBuffs,Tinker,Demolition,Рейндж/кастер,Burst Mana,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Concentration,Concentration,Класс,classBuffs,Tinker,Demolition,Рейндж/кастер,Concentration,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Amplify Magic,Amplify Magic,Класс,classBuffs,Tinker,Demolition,Рейндж/кастер,Amplify Magic,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,5% Attack Power,Attack Power %,Спек,specBuffs,Tinker,Demolition,Рейндж/кастер,Attack Power %,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Attack Power Reduction,Attack Power Reduction,Спек,specDebuffs,Tinker,Demolition,Рейндж/кастер,Attack Power Reduction,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Attack Power,AP Flat (Shout),Класс,classBuffs,Tinker,Mechanics,Рейндж/кастер,AP Flat (Shout),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Mana Regeneration,Mp5,Класс,classBuffs,Tinker,Mechanics,Рейндж/кастер,Mp5,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Strong Mana Cooldown,Burst Mana,Класс,classBuffs,Tinker,Mechanics,Рейндж/кастер,Burst Mana,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Concentration,Concentration,Класс,classBuffs,Tinker,Mechanics,Рейндж/кастер,Concentration,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Amplify Magic,Amplify Magic,Класс,classBuffs,Tinker,Mechanics,Рейндж/кастер,Amplify Magic,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,10% Melee & Range Haste,Melee/Range Haste (10%),Спек,specBuffs,Tinker,Mechanics,Рейндж/кастер,Melee/Range Haste (10%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические дебафы,Armor Reduction,% Armor Debuff,Спек,specDebuffs,Tinker,Mechanics,Рейндж/кастер,% Armor Debuff,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Attack Power,AP Flat (Shout),Класс,classBuffs,Tinker,Invention,Хилер,AP Flat (Shout),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Mana Regeneration,Mp5,Класс,classBuffs,Tinker,Invention,Хилер,Mp5,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Strong Mana Cooldown,Burst Mana,Класс,classBuffs,Tinker,Invention,Хилер,Burst Mana,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Concentration,Concentration,Класс,classBuffs,Tinker,Invention,Хилер,Concentration,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Amplify Magic,Amplify Magic,Класс,classBuffs,Tinker,Invention,Хилер,Amplify Magic,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,3% Spell Haste,Spell Haste (3%),Спек,specBuffs,Tinker,Invention,Хилер,Spell Haste (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,3% Damage Reduction (all),Dmg Reduct(-3%),Спек,specBuffs,Tinker,Invention,Хилер,Dmg Reduct(-3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,6% Healing Done,6% Healing Taken,Спек,specBuffs,Tinker,Invention,Хилер,6% Healing Taken,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
